DATE,MONTH,TYPE,TOTAL (IN TONS)
01/31/2011,January,Curb Recycling,699
01/31/2011,January,Misc. Recycling,0
01/31/2011,January,Bottle Bill,0
01/31/2011,January,Scrap Metal,0
01/31/2011,January,Recycled Tires,14
01/31/2011,January,Yard Waste,269
01/31/2011,January,Asphalt Debris,0
01/31/2011,January,Sidewalk Debris,0
01/31/2011,January,Haz Waste,0
01/31/2011,January,E-Waste,0
01/31/2011,January,Curb Garbage,6816
01/31/2011,January,Misc. Garbage,287
02/28/2011,February,Curb Recycling,606
02/28/2011,February,Misc. Recycling,0
02/28/2011,February,Bottle Bill,0
02/28/2011,February,Scrap Metal,0
02/28/2011,February,Recycled Tires,20
02/28/2011,February,Yard Waste,1090
02/28/2011,February,Asphalt Debris,0
02/28/2011,February,Sidewalk Debris,0
02/28/2011,February,Haz Waste,0
02/28/2011,February,E-Waste,0
02/28/2011,February,Curb Garbage,6284
02/28/2011,February,Misc. Garbage,459
03/31/2011,March,Curb Recycling,716
03/31/2011,March,Misc. Recycling,0
03/31/2011,March,Bottle Bill,0
03/31/2011,March,Scrap Metal,0
03/31/2011,March,Recycled Tires,32
03/31/2011,March,Yard Waste,777
03/31/2011,March,Asphalt Debris,0
03/31/2011,March,Sidewalk Debris,0
03/31/2011,March,Haz Waste,0
03/31/2011,March,E-Waste,0
03/31/2011,March,Curb Garbage,8484
03/31/2011,March,Misc. Garbage,1570
04/30/2011,April,Curb Recycling,706
04/30/2011,April,Misc. Recycling,0
04/30/2011,April,Bottle Bill,0
04/30/2011,April,Scrap Metal,0
04/30/2011,April,Recycled Tires,83
04/30/2011,April,Yard Waste,0
04/30/2011,April,Asphalt Debris,0
04/30/2011,April,Sidewalk Debris,0
04/30/2011,April,Haz Waste,0
04/30/2011,April,E-Waste,0
04/30/2011,April,Curb Garbage,8309
04/30/2011,April,Misc. Garbage,2471
05/31/2011,May,Curb Recycling,760
05/31/2011,May,Misc. Recycling,0
05/31/2011,May,Bottle Bill,0
05/31/2011,May,Scrap Metal,0
05/31/2011,May,Recycled Tires,34
05/31/2011,May,Yard Waste,0
05/31/2011,May,Asphalt Debris,0
05/31/2011,May,Sidewalk Debris,0
05/31/2011,May,Haz Waste,0
05/31/2011,May,E-Waste,0
05/31/2011,May,Curb Garbage,9314
05/31/2011,May,Misc. Garbage,3721
06/30/2011,June,Curb Recycling,813
06/30/2011,June,Misc. Recycling,0
06/30/2011,June,Bottle Bill,0
06/30/2011,June,Scrap Metal,0
06/30/2011,June,Recycled Tires,33
06/30/2011,June,Yard Waste,0
06/30/2011,June,Asphalt Debris,0
06/30/2011,June,Sidewalk Debris,0
06/30/2011,June,Haz Waste,0
06/30/2011,June,E-Waste,0
06/30/2011,June,Curb Garbage,10197
06/30/2011,June,Misc. Garbage,3873
07/31/2011,July,Curb Recycling,685
07/31/2011,July,Misc. Recycling,0
07/31/2011,July,Bottle Bill,0
07/31/2011,July,Scrap Metal,0
07/31/2011,July,Recycled Tires,28
07/31/2011,July,Yard Waste,0
07/31/2011,July,Asphalt Debris,0
07/31/2011,July,Sidewalk Debris,0
07/31/2011,July,Haz Waste,0
07/31/2011,July,E-Waste,0
07/31/2011,July,Curb Garbage,9070
07/31/2011,July,Misc. Garbage,1848
08/31/2011,August,Curb Recycling,740
08/31/2011,August,Misc. Recycling,0
08/31/2011,August,Bottle Bill,0
08/31/2011,August,Scrap Metal,0
08/31/2011,August,Recycled Tires,19
08/31/2011,August,Yard Waste,0
08/31/2011,August,Asphalt Debris,7000
08/31/2011,August,Sidewalk Debris,800
08/31/2011,August,Haz Waste,0
08/31/2011,August,E-Waste,0
08/31/2011,August,Curb Garbage,9715
08/31/2011,August,Misc. Garbage,2687
09/30/2011,September,Curb Recycling,756
09/30/2011,September,Misc. Recycling,0
09/30/2011,September,Bottle Bill,0
09/30/2011,September,Scrap Metal,0
09/30/2011,September,Recycled Tires,34
09/30/2011,September,Yard Waste,0
09/30/2011,September,Asphalt Debris,8000
09/30/2011,September,Sidewalk Debris,1200
09/30/2011,September,Haz Waste,0
09/30/2011,September,E-Waste,0
09/30/2011,September,Curb Garbage,9115
09/30/2011,September,Misc. Garbage,2681
10/31/2011,October,Curb Recycling,731
10/31/2011,October,Misc. Recycling,0
10/31/2011,October,Bottle Bill,0
10/31/2011,October,Scrap Metal,0
10/31/2011,October,Recycled Tires,22
10/31/2011,October,Yard Waste,0
10/31/2011,October,Asphalt Debris,7500
10/31/2011,October,Sidewalk Debris,1100
10/31/2011,October,Haz Waste,0
10/31/2011,October,E-Waste,0
10/31/2011,October,Curb Garbage,8478
10/31/2011,October,Misc. Garbage,1914
11/30/2011,November,Curb Recycling,781
11/30/2011,November,Misc. Recycling,0
11/30/2011,November,Bottle Bill,0
11/30/2011,November,Scrap Metal,0
11/30/2011,November,Recycled Tires,25
11/30/2011,November,Yard Waste,0
11/30/2011,November,Asphalt Debris,5500
11/30/2011,November,Sidewalk Debris,800
11/30/2011,November,Haz Waste,0
11/30/2011,November,E-Waste,0
11/30/2011,November,Curb Garbage,8870
11/30/2011,November,Misc. Garbage,1165
12/31/2011,December,Curb Recycling,871
12/31/2011,December,Misc. Recycling,1
12/31/2011,December,Bottle Bill,0
12/31/2011,December,Scrap Metal,0
12/31/2011,December,Recycled Tires,20
12/31/2011,December,Yard Waste,339
12/31/2011,December,Asphalt Debris,0
12/31/2011,December,Sidewalk Debris,0
12/31/2011,December,Haz Waste,0
12/31/2011,December,E-Waste,0
12/31/2011,December,Curb Garbage,7752
12/31/2011,December,Misc. Garbage,1060
01/31/2012,January,Curb Recycling,888
01/31/2012,January,Misc. Recycling,0
01/31/2012,January,Bottle Bill,0
01/31/2012,January,Scrap Metal,0
01/31/2012,January,Recycled Tires,29
01/31/2012,January,Yard Waste,461
01/31/2012,January,Asphalt Debris,0
01/31/2012,January,Sidewalk Debris,0
01/31/2012,January,Haz Waste,0
01/31/2012,January,E-Waste,0
01/31/2012,January,Curb Garbage,7248
01/31/2012,January,Misc. Garbage,571
02/28/2012,February,Curb Recycling,964
02/28/2012,February,Misc. Recycling,4
02/28/2012,February,Bottle Bill,0
02/28/2012,February,Scrap Metal,0
02/28/2012,February,Recycled Tires,25
02/28/2012,February,Yard Waste,978
02/28/2012,February,Asphalt Debris,0
02/28/2012,February,Sidewalk Debris,0
02/28/2012,February,Haz Waste,0
02/28/2012,February,E-Waste,0
02/28/2012,February,Curb Garbage,6555
02/28/2012,February,Misc. Garbage,1135
03/31/2012,March,Curb Recycling,1081
03/31/2012,March,Misc. Recycling,1
03/31/2012,March,Bottle Bill,0
03/31/2012,March,Scrap Metal,0
03/31/2012,March,Recycled Tires,30
03/31/2012,March,Yard Waste,551
03/31/2012,March,Asphalt Debris,0
03/31/2012,March,Sidewalk Debris,0
03/31/2012,March,Haz Waste,0
03/31/2012,March,E-Waste,1
03/31/2012,March,Curb Garbage,8055
03/31/2012,March,Misc. Garbage,1782
04/30/2012,April,Curb Recycling,1029
04/30/2012,April,Misc. Recycling,0
04/30/2012,April,Bottle Bill,0
04/30/2012,April,Scrap Metal,0
04/30/2012,April,Recycled Tires,40
04/30/2012,April,Yard Waste,0
04/30/2012,April,Asphalt Debris,7000
04/30/2012,April,Sidewalk Debris,0
04/30/2012,April,Haz Waste,0
04/30/2012,April,E-Waste,14
04/30/2012,April,Curb Garbage,7475
04/30/2012,April,Misc. Garbage,2131
05/31/2012,May,Curb Recycling,1206
05/31/2012,May,Misc. Recycling,1
05/31/2012,May,Bottle Bill,0
05/31/2012,May,Scrap Metal,0
05/31/2012,May,Recycled Tires,50
05/31/2012,May,Yard Waste,0
05/31/2012,May,Asphalt Debris,8500
05/31/2012,May,Sidewalk Debris,0
05/31/2012,May,Haz Waste,0
05/31/2012,May,E-Waste,9
05/31/2012,May,Curb Garbage,9854
05/31/2012,May,Misc. Garbage,2753
06/30/2012,June,Curb Recycling,1123
06/30/2012,June,Misc. Recycling,1
06/30/2012,June,Bottle Bill,0
06/30/2012,June,Scrap Metal,0
06/30/2012,June,Recycled Tires,30
06/30/2012,June,Yard Waste,451
06/30/2012,June,Asphalt Debris,9000
06/30/2012,June,Sidewalk Debris,550
06/30/2012,June,Haz Waste,0
06/30/2012,June,E-Waste,25
06/30/2012,June,Curb Garbage,8717
06/30/2012,June,Misc. Garbage,2817
07/31/2012,July,Curb Recycling,1077
07/31/2012,July,Misc. Recycling,2
07/31/2012,July,Bottle Bill,0
07/31/2012,July,Scrap Metal,0
07/31/2012,July,Recycled Tires,20
07/31/2012,July,Yard Waste,489
07/31/2012,July,Asphalt Debris,9500
07/31/2012,July,Sidewalk Debris,850
07/31/2012,July,Haz Waste,0
07/31/2012,July,E-Waste,21
07/31/2012,July,Curb Garbage,8361
07/31/2012,July,Misc. Garbage,1658
08/31/2012,August,Curb Recycling,1152
08/31/2012,August,Misc. Recycling,0
08/31/2012,August,Bottle Bill,0
08/31/2012,August,Scrap Metal,0
08/31/2012,August,Recycled Tires,31
08/31/2012,August,Yard Waste,0
08/31/2012,August,Asphalt Debris,9500
08/31/2012,August,Sidewalk Debris,1300
08/31/2012,August,Haz Waste,0
08/31/2012,August,E-Waste,41
08/31/2012,August,Curb Garbage,8583
08/31/2012,August,Misc. Garbage,1944
09/30/2012,September,Curb Recycling,1058
09/30/2012,September,Misc. Recycling,1
09/30/2012,September,Bottle Bill,0
09/30/2012,September,Scrap Metal,0
09/30/2012,September,Recycled Tires,23
09/30/2012,September,Yard Waste,0
09/30/2012,September,Asphalt Debris,9000
09/30/2012,September,Sidewalk Debris,1200
09/30/2012,September,Haz Waste,0
09/30/2012,September,E-Waste,29
09/30/2012,September,Curb Garbage,7409
09/30/2012,September,Misc. Garbage,2434
10/31/2012,October,Curb Recycling,1201
10/31/2012,October,Misc. Recycling,1
10/31/2012,October,Bottle Bill,0
10/31/2012,October,Scrap Metal,0
10/31/2012,October,Recycled Tires,26
10/31/2012,October,Yard Waste,0
10/31/2012,October,Asphalt Debris,7500
10/31/2012,October,Sidewalk Debris,800
10/31/2012,October,Haz Waste,6
10/31/2012,October,E-Waste,34
10/31/2012,October,Curb Garbage,8450
10/31/2012,October,Misc. Garbage,1660
11/30/2012,November,Curb Recycling,1265
11/30/2012,November,Misc. Recycling,1
11/30/2012,November,Bottle Bill,0
11/30/2012,November,Scrap Metal,0
11/30/2012,November,Recycled Tires,18
11/30/2012,November,Yard Waste,550
11/30/2012,November,Asphalt Debris,0
11/30/2012,November,Sidewalk Debris,300
11/30/2012,November,Haz Waste,0
11/30/2012,November,E-Waste,16
11/30/2012,November,Curb Garbage,7716
11/30/2012,November,Misc. Garbage,1112
12/31/2012,December,Curb Recycling,1133
12/31/2012,December,Misc. Recycling,2
12/31/2012,December,Bottle Bill,0
12/31/2012,December,Scrap Metal,0
12/31/2012,December,Recycled Tires,21
12/31/2012,December,Yard Waste,1000
12/31/2012,December,Asphalt Debris,0
12/31/2012,December,Sidewalk Debris,0
12/31/2012,December,Haz Waste,0
12/31/2012,December,E-Waste,25
12/31/2012,December,Curb Garbage,6622
12/31/2012,December,Misc. Garbage,951
01/31/2013,January,Curb Recycling,1193
01/31/2013,January,Misc. Recycling,3
01/31/2013,January,Bottle Bill,0
01/31/2013,January,Scrap Metal,337
01/31/2013,January,Recycled Tires,16
01/31/2013,January,Yard Waste,676
01/31/2013,January,Asphalt Debris,5000
01/31/2013,January,Sidewalk Debris,417
01/31/2013,January,Haz Waste,0
01/31/2013,January,E-Waste,33
01/31/2013,January,Curb Garbage,7436
01/31/2013,January,Misc. Garbage,69
02/28/2013,February,Curb Recycling,946
02/28/2013,February,Misc. Recycling,3
02/28/2013,February,Bottle Bill,0
02/28/2013,February,Scrap Metal,337
02/28/2013,February,Recycled Tires,24
02/28/2013,February,Yard Waste,527
02/28/2013,February,Asphalt Debris,5000
02/28/2013,February,Sidewalk Debris,417
02/28/2013,February,Haz Waste,0
02/28/2013,February,E-Waste,31
02/28/2013,February,Curb Garbage,6160
02/28/2013,February,Misc. Garbage,117
03/31/2013,March,Curb Recycling,1046
03/31/2013,March,Misc. Recycling,6
03/31/2013,March,Bottle Bill,0
03/31/2013,March,Scrap Metal,338
03/31/2013,March,Recycled Tires,14
03/31/2013,March,Yard Waste,720
03/31/2013,March,Asphalt Debris,5000
03/31/2013,March,Sidewalk Debris,417
03/31/2013,March,Haz Waste,0
03/31/2013,March,E-Waste,26
03/31/2013,March,Curb Garbage,7307
03/31/2013,March,Misc. Garbage,175
04/30/2013,April,Curb Recycling,1178
04/30/2013,April,Misc. Recycling,4
04/30/2013,April,Bottle Bill,0
04/30/2013,April,Scrap Metal,340
04/30/2013,April,Recycled Tires,46
04/30/2013,April,Yard Waste,0
04/30/2013,April,Asphalt Debris,5000
04/30/2013,April,Sidewalk Debris,417
04/30/2013,April,Haz Waste,0
04/30/2013,April,E-Waste,35
04/30/2013,April,Curb Garbage,10904
04/30/2013,April,Misc. Garbage,214
05/31/2013,May,Curb Recycling,1262
05/31/2013,May,Misc. Recycling,4
05/31/2013,May,Bottle Bill,0
05/31/2013,May,Scrap Metal,336
05/31/2013,May,Recycled Tires,39
05/31/2013,May,Yard Waste,0
05/31/2013,May,Asphalt Debris,5000
05/31/2013,May,Sidewalk Debris,417
05/31/2013,May,Haz Waste,0
05/31/2013,May,E-Waste,65
05/31/2013,May,Curb Garbage,12594
05/31/2013,May,Misc. Garbage,275
06/30/2013,June,Curb Recycling,1205
06/30/2013,June,Misc. Recycling,5
06/30/2013,June,Bottle Bill,0
06/30/2013,June,Scrap Metal,337
06/30/2013,June,Recycled Tires,23
06/30/2013,June,Yard Waste,0
06/30/2013,June,Asphalt Debris,5000
06/30/2013,June,Sidewalk Debris,417
06/30/2013,June,Haz Waste,7
06/30/2013,June,E-Waste,50
06/30/2013,June,Curb Garbage,11232
06/30/2013,June,Misc. Garbage,260
07/31/2013,July,Curb Recycling,1218
07/31/2013,July,Misc. Recycling,5
07/31/2013,July,Bottle Bill,0
07/31/2013,July,Scrap Metal,336
07/31/2013,July,Recycled Tires,24
07/31/2013,July,Yard Waste,0
07/31/2013,July,Asphalt Debris,5000
07/31/2013,July,Sidewalk Debris,417
07/31/2013,July,Haz Waste,0
07/31/2013,July,E-Waste,34
07/31/2013,July,Curb Garbage,11073
07/31/2013,July,Misc. Garbage,301
08/31/2013,August,Curb Recycling,1179
08/31/2013,August,Misc. Recycling,2
08/31/2013,August,Bottle Bill,0
08/31/2013,August,Scrap Metal,343
08/31/2013,August,Recycled Tires,46
08/31/2013,August,Yard Waste,1319
08/31/2013,August,Asphalt Debris,5000
08/31/2013,August,Sidewalk Debris,417
08/31/2013,August,Haz Waste,0
08/31/2013,August,E-Waste,44
08/31/2013,August,Curb Garbage,10999
08/31/2013,August,Misc. Garbage,314
09/30/2013,September,Curb Recycling,1133
09/30/2013,September,Misc. Recycling,11
09/30/2013,September,Bottle Bill,0
09/30/2013,September,Scrap Metal,337
09/30/2013,September,Recycled Tires,23
09/30/2013,September,Yard Waste,847
09/30/2013,September,Asphalt Debris,5000
09/30/2013,September,Sidewalk Debris,417
09/30/2013,September,Haz Waste,0
09/30/2013,September,E-Waste,32
09/30/2013,September,Curb Garbage,10412
09/30/2013,September,Misc. Garbage,223
10/31/2013,October,Curb Recycling,1275
10/31/2013,October,Misc. Recycling,9
10/31/2013,October,Bottle Bill,0
10/31/2013,October,Scrap Metal,336
10/31/2013,October,Recycled Tires,48
10/31/2013,October,Yard Waste,0
10/31/2013,October,Asphalt Debris,5000
10/31/2013,October,Sidewalk Debris,417
10/31/2013,October,Haz Waste,0
10/31/2013,October,E-Waste,35
10/31/2013,October,Curb Garbage,10047
10/31/2013,October,Misc. Garbage,63
11/30/2013,November,Curb Recycling,1166
11/30/2013,November,Misc. Recycling,6
11/30/2013,November,Bottle Bill,0
11/30/2013,November,Scrap Metal,342
11/30/2013,November,Recycled Tires,18
11/30/2013,November,Yard Waste,1204
11/30/2013,November,Asphalt Debris,5000
11/30/2013,November,Sidewalk Debris,417
11/30/2013,November,Haz Waste,0
11/30/2013,November,E-Waste,18
11/30/2013,November,Curb Garbage,8015
11/30/2013,November,Misc. Garbage,92
12/31/2013,December,Curb Recycling,1305
12/31/2013,December,Misc. Recycling,5
12/31/2013,December,Bottle Bill,0
12/31/2013,December,Scrap Metal,338
12/31/2013,December,Recycled Tires,14
12/31/2013,December,Yard Waste,230
12/31/2013,December,Asphalt Debris,5000
12/31/2013,December,Sidewalk Debris,417
12/31/2013,December,Haz Waste,0
12/31/2013,December,E-Waste,9
12/31/2013,December,Curb Garbage,7677
12/31/2013,December,Misc. Garbage,82
01/31/2014,January,Curb Recycling,1171
01/31/2014,January,Misc. Recycling,2
01/31/2014,January,Bottle Bill,317
01/31/2014,January,Scrap Metal,336
01/31/2014,January,Recycled Tires,6
01/31/2014,January,Yard Waste,145
01/31/2014,January,Asphalt Debris,5000
01/31/2014,January,Sidewalk Debris,417
01/31/2014,January,Haz Waste,0
01/31/2014,January,E-Waste,21
01/31/2014,January,Curb Garbage,7239
01/31/2014,January,Misc. Garbage,594
02/28/2014,February,Curb Recycling,980
02/28/2014,February,Misc. Recycling,4
02/28/2014,February,Bottle Bill,317
02/28/2014,February,Scrap Metal,336
02/28/2014,February,Recycled Tires,3
02/28/2014,February,Yard Waste,0
02/28/2014,February,Asphalt Debris,5000
02/28/2014,February,Sidewalk Debris,417
02/28/2014,February,Haz Waste,0
02/28/2014,February,E-Waste,34
02/28/2014,February,Curb Garbage,5793
02/28/2014,February,Misc. Garbage,62
03/31/2014,March,Curb Recycling,1118
03/31/2014,March,Misc. Recycling,2
03/31/2014,March,Bottle Bill,317
03/31/2014,March,Scrap Metal,336
03/31/2014,March,Recycled Tires,23
03/31/2014,March,Yard Waste,0
03/31/2014,March,Asphalt Debris,5000
03/31/2014,March,Sidewalk Debris,417
03/31/2014,March,Haz Waste,0
03/31/2014,March,E-Waste,14
03/31/2014,March,Curb Garbage,7482
03/31/2014,March,Misc. Garbage,79
04/30/2014,April,Curb Recycling,1253
04/30/2014,April,Misc. Recycling,6
04/30/2014,April,Bottle Bill,317
04/30/2014,April,Scrap Metal,336
04/30/2014,April,Recycled Tires,15
04/30/2014,April,Yard Waste,0
04/30/2014,April,Asphalt Debris,5000
04/30/2014,April,Sidewalk Debris,417
04/30/2014,April,Haz Waste,0
04/30/2014,April,E-Waste,30
04/30/2014,April,Curb Garbage,11564
04/30/2014,April,Misc. Garbage,171
05/31/2014,May,Curb Recycling,1311
05/31/2014,May,Misc. Recycling,3
05/31/2014,May,Bottle Bill,317
05/31/2014,May,Scrap Metal,336
05/31/2014,May,Recycled Tires,38
05/31/2014,May,Yard Waste,0
05/31/2014,May,Asphalt Debris,5000
05/31/2014,May,Sidewalk Debris,417
05/31/2014,May,Haz Waste,0
05/31/2014,May,E-Waste,69
05/31/2014,May,Curb Garbage,12375
05/31/2014,May,Misc. Garbage,190
06/30/2014,June,Curb Recycling,1239
06/30/2014,June,Misc. Recycling,3
06/30/2014,June,Bottle Bill,317
06/30/2014,June,Scrap Metal,336
06/30/2014,June,Recycled Tires,22
06/30/2014,June,Yard Waste,0
06/30/2014,June,Asphalt Debris,5000
06/30/2014,June,Sidewalk Debris,417
06/30/2014,June,Haz Waste,11
06/30/2014,June,E-Waste,70
06/30/2014,June,Curb Garbage,11770
06/30/2014,June,Misc. Garbage,226
07/31/2014,July,Curb Recycling,1306
07/31/2014,July,Misc. Recycling,5
07/31/2014,July,Bottle Bill,317
07/31/2014,July,Scrap Metal,336
07/31/2014,July,Recycled Tires,21
07/31/2014,July,Yard Waste,0
07/31/2014,July,Asphalt Debris,5000
07/31/2014,July,Sidewalk Debris,417
07/31/2014,July,Haz Waste,0
07/31/2014,July,E-Waste,44
07/31/2014,July,Curb Garbage,10818
07/31/2014,July,Misc. Garbage,243
08/31/2014,August,Curb Recycling,1178
08/31/2014,August,Misc. Recycling,5
08/31/2014,August,Bottle Bill,317
08/31/2014,August,Scrap Metal,336
08/31/2014,August,Recycled Tires,23
08/31/2014,August,Yard Waste,0
08/31/2014,August,Asphalt Debris,5000
08/31/2014,August,Sidewalk Debris,417
08/31/2014,August,Haz Waste,0
08/31/2014,August,E-Waste,48
08/31/2014,August,Curb Garbage,10623
08/31/2014,August,Misc. Garbage,340
09/30/2014,September,Curb Recycling,1226
09/30/2014,September,Misc. Recycling,2
09/30/2014,September,Bottle Bill,317
09/30/2014,September,Scrap Metal,336
09/30/2014,September,Recycled Tires,20
09/30/2014,September,Yard Waste,828
09/30/2014,September,Asphalt Debris,5000
09/30/2014,September,Sidewalk Debris,417
09/30/2014,September,Haz Waste,0
09/30/2014,September,E-Waste,40
09/30/2014,September,Curb Garbage,10628
