Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100
Brooklyn North,BKN01,10,2019,April,14.7,44.9,43.0,44.1
Brooklyn North,BKN02,10,2019,April,20.0,34.2,57.9,41.2
Brooklyn North,BKN03,10,2019,April,12.2,33.5,44.9,38.2
Brooklyn North,BKN04,10,2019,April,15.5,35.2,68.5,48.8
Brooklyn North,BKN05,10,2019,April,10.1,22.3,45.1,31.5
Brooklyn North,BKN08,10,2019,April,16.4,44.5,59.4,50.6
Brooklyn North,BKN09,10,2019,April,14.0,34.0,47.9,39.2
Brooklyn North,BKN16,10,2019,April,9.3,20.3,35.2,26.4
Brooklyn North,BKN17,10,2019,April,13.4,28.4,60.8,40.7
Brooklyn South,BKS06,10,2019,April,29.0,46.4,83.0,57.2
Brooklyn South,BKS07,10,2019,April,20.4,48.0,72.5,57.3
Brooklyn South,BKS10,10,2019,April,23.8,52.6,75.4,61.3
Brooklyn South,BKS11,10,2019,April,18.4,45.0,64.8,52.5
Brooklyn South,BKS12,10,2019,April,14.9,47.6,42.0,45.3
Brooklyn South,BKS13,10,2019,April,14.3,41.0,51.5,45.6
Brooklyn South,BKS14,10,2019,April,15.0,38.6,57.6,45.1
Brooklyn South,BKS15,10,2019,April,18.7,46.6,63.1,52.9
Brooklyn South,BKS18,10,2019,April,14.7,38.5,71.6,50.3
Bronx,BX01,10,2019,April,7.1,19.6,27.9,23.2
Bronx,BX02,10,2019,April,13.4,33.2,60.2,45.0
Bronx,BX03,10,2019,April,9.8,25.0,43.1,32.9
Bronx,BX04,10,2019,April,12.3,30.0,53.3,40.2
Bronx,BX05,10,2019,April,11.4,27.3,52.6,38.3
Bronx,BX06,10,2019,April,14.1,36.4,51.9,43.2
Bronx,BX07,10,2019,April,14.6,33.4,69.4,49.1
Bronx,BX08,10,2019,April,21.2,43.7,84.1,57.6
Bronx,BX09,10,2019,April,10.1,22.0,45.7,31.6
Bronx,BX10,10,2019,April,21.0,38.1,84.8,55.8
Bronx,BX11,10,2019,April,16.7,34.6,61.1,44.6
Bronx,BX12,10,2019,April,20.6,34.0,82.4,52.4
Manhattan,MN01,10,2019,April,28.0,46.2,78.9,54.1
Manhattan,MN02,10,2019,April,26.7,39.9,88.2,51.5
Manhattan,MN03,10,2019,April,14.1,41.0,44.9,42.7
Manhattan,MN04,10,2019,April,23.6,34.2,78.9,45.0
Manhattan,MN05,10,2019,April,21.1,34.2,66.5,42.0
Manhattan,MN06,10,2019,April,24.0,35.4,79.2,45.9
Manhattan,MN07,10,2019,April,27.5,41.8,86.6,52.6
Manhattan,MN08,10,2019,April,26.7,42.9,83.6,52.7
Manhattan,MN09,10,2019,April,18.5,55.8,53.4,54.8
Manhattan,MN10,10,2019,April,14.6,40.0,58.8,48.2
Manhattan,MN11,10,2019,April,11.3,39.9,32.9,36.9
Manhattan,MN12,10,2019,April,16.4,43.8,62.0,51.8
Queens East,QE07,10,2019,April,20.2,47.4,70.1,56.0
Queens East,QE08,10,2019,April,16.5,27.8,56.2,36.2
Queens East,QE10,10,2019,April,19.0,41.3,96.1,60.8
Queens East,QE11,10,2019,April,24.2,59.8,96.2,72.7
Queens East,QE12,10,2019,April,13.9,35.0,68.6,50.5
Queens East,QE13,10,2019,April,20.0,36.5,97.6,58.2
Queens East,QE14,10,2019,April,14.0,32.9,45.4,37.7
Queens West,QW01,10,2019,April,19.8,49.1,78.5,60.3
Queens West,QW02,10,2019,April,21.0,49.0,74.4,58.6
Queens West,QW03,10,2019,April,13.9,30.0,62.5,42.3
Queens West,QW04,10,2019,April,14.9,33.4,65.5,45.6
Queens West,QW05,10,2019,April,23.3,45.6,86.9,61.3
Queens West,QW06,10,2019,April,20.4,28.5,78.1,40.5
Queens West,QW09,10,2019,April,21.8,39.7,78.9,54.6
Staten Island,SI01,10,2019,April,20.2,45.3,85.6,59.6
Staten Island,SI02,10,2019,April,19.3,50.6,86.6,63.4
Staten Island,SI03,10,2019,April,19.5,52.1,90.6,65.8
Brooklyn North,BKN01,2,2019,August,16.6,51.2,44.8,48.3
Brooklyn North,BKN02,2,2019,August,19.4,32.5,55.9,39.4
Brooklyn North,BKN03,2,2019,August,12.3,35.6,40.0,37.6
Brooklyn North,BKN04,2,2019,August,15.7,37.5,60.1,47.8
Brooklyn North,BKN05,2,2019,August,10.0,23.5,38.9,30.5
Brooklyn North,BKN08,2,2019,August,15.7,46.2,49.9,47.9
Brooklyn North,BKN09,2,2019,August,12.7,33.5,42.3,37.0
Brooklyn North,BKN16,2,2019,August,9.7,21.9,32.0,26.5
Brooklyn North,BKN17,2,2019,August,13.3,27.6,56.0,38.9
Brooklyn South,BKS06,2,2019,August,26.7,43.1,76.3,52.9
Brooklyn South,BKS07,2,2019,August,20.0,44.7,65.9,53.1
Brooklyn South,BKS10,2,2019,August,22.3,53.0,70.4,59.9
Brooklyn South,BKS11,2,2019,August,18.5,44.7,56.7,49.5
Brooklyn South,BKS12,2,2019,August,15.7,50.8,38.3,45.1
Brooklyn South,BKS13,2,2019,August,14.5,38.0,50.7,43.5
Brooklyn South,BKS14,2,2019,August,14.2,32.7,52.5,39.1
Brooklyn South,BKS15,2,2019,August,19.2,46.8,57.6,51.1
Brooklyn South,BKS18,2,2019,August,14.4,31.2,61.1,41.8
Bronx,BX01,2,2019,August,6.8,17.3,26.8,21.4
Bronx,BX02,2,2019,August,12.9,30.5,55.2,41.1
Bronx,BX03,2,2019,August,9.1,22.6,37.8,29.1
Bronx,BX04,2,2019,August,11.8,26.7,50.4,36.9
Bronx,BX05,2,2019,August,11.0,24.0,49.8,35.1
Bronx,BX06,2,2019,August,12.4,34.6,44.9,39.0
Bronx,BX07,2,2019,August,14.3,31.8,64.1,45.6
Bronx,BX08,2,2019,August,21.0,39.7,81.5,53.3
Bronx,BX09,2,2019,August,9.7,22.9,37.3,29.5
Bronx,BX10,2,2019,August,21.1,38.9,73.3,52.5
Bronx,BX11,2,2019,August,17.1,35.1,53.5,42.4
Bronx,BX12,2,2019,August,21.2,33.7,72.2,49.0
Manhattan,MN01,2,2019,August,25.7,44.3,60.5,48.7
Manhattan,MN02,2,2019,August,24.5,39.2,70.7,47.6
Manhattan,MN03,2,2019,August,13.0,38.6,41.4,39.8
Manhattan,MN04,2,2019,August,22.4,33.0,67.3,42.2
Manhattan,MN05,2,2019,August,19.1,31.7,51.7,37.1
Manhattan,MN06,2,2019,August,22.1,34.3,61.4,41.6
Manhattan,MN07,2,2019,August,25.8,41.4,70.8,49.3
Manhattan,MN08,2,2019,August,25.5,42.2,67.5,49.0
Manhattan,MN09,2,2019,August,17.1,56.5,49.2,53.4
Manhattan,MN10,2,2019,August,13.9,35.5,54.5,43.6
Manhattan,MN11,2,2019,August,11.6,41.2,31.5,37.0
Manhattan,MN12,2,2019,August,15.4,41.5,56.0,47.7
Queens East,QE07,2,2019,August,19.7,46.1,58.4,51.0
