Year/Month,Recycling (tons),Solid Waste (tons),Grand Total (tons),Recycling Rate,L&YW tons,Diversion,Waste diversion rate
07/31/2008 12:00:00 AM,656.27,6051.15,6707.42,0.0978,285.70,941.97,0.1347
08/31/2008 12:00:00 AM,624.48,5445.43,6069.91,0.1029,191.07,815.55,0.1303
09/30/2008 12:00:00 AM,713.73,5693.21,6406.94,0.1114,199.39,913.12,0.1382
10/31/2008 12:00:00 AM,691.00,5835.71,6526.71,0.1059,218.20,909.20,0.1348
11/30/2008 12:00:00 AM,583.07,4867.30,5450.37,0.107,761.92,1344.99,0.2165
12/31/2008 12:00:00 AM,665.71,5083.91,5749.62,0.1158,223.88,889.59,0.1489
01/31/2009 12:00:00 AM,579.33,4579.90,5159.23,0.1123,0.00,579.33,0.1123
02/28/2009 12:00:00 AM,506.09,4364.96,4871.05,0.1039,0.00,506.09,0.1039
03/31/2009 12:00:00 AM,577.70,5144.63,5722.33,0.101,0.00,577.70,0.101
04/30/2009 12:00:00 AM,901.26,4004.16,4905.42,0.1837,10.08,911.34,0.1854
05/31/2009 12:00:00 AM,560.08,5820.02,6380.10,0.0878,317.08,877.16,0.131
06/30/2009 12:00:00 AM,575.32,5781.44,6356.76,0.0905,406.37,981.69,0.1452
07/31/2009 12:00:00 AM,639.57,5729.39,6368.96,0.1004,307.03,946.60,0.1418
08/31/2009 12:00:00 AM,608.21,6315.59,6923.80,0.0878,287.37,895.58,0.1242
09/30/2009 12:00:00 AM,549.85,5327.24,5877.09,0.0936,212.46,762.31,0.1252
10/31/2009 12:00:00 AM,555.09,5582.50,6137.59,0.0904,226.89,781.98,0.1229
11/30/2009 12:00:00 AM,569.74,5331.96,5901.70,0.0965,239.67,809.41,0.1318
12/31/2009 12:00:00 AM,752.67,4140.33,4893.00,0.1538,920.59,1673.26,0.2878
01/31/2010 12:00:00 AM,1055.63,4505.43,5561.06,0.1898,249.73,1305.36,0.2246
02/28/2010 12:00:00 AM,758.35,3619.31,4377.66,0.1732,0.00,758.35,0.1732
03/31/2010 12:00:00 AM,1022.68,4964.43,5987.11,0.1708,106.32,1129.00,0.1853
04/30/2010 12:00:00 AM,911.86,5218.35,6130.21,0.1487,389.73,1301.59,0.1996
05/31/2010 12:00:00 AM,843.58,4645.40,5488.98,0.1537,320.76,1164.34,0.2004
06/30/2010 12:00:00 AM,1028.45,5412.65,6441.10,0.1597,319.05,1347.50,0.1993
07/31/2010 12:00:00 AM,880.17,5189.47,6069.64,0.145,190.05,1070.22,0.171
08/31/2010 12:00:00 AM,884.60,4944.08,5828.68,0.1518,187.80,1072.40,0.1782
09/30/2010 12:00:00 AM,831.46,5124.62,5956.08,0.1396,197.13,1028.59,0.1672
10/31/2010 12:00:00 AM,783.60,4677.42,5461.02,0.1435,212.79,996.39,0.1756
11/30/2010 12:00:00 AM,843.28,4733.91,5577.19,0.1512,854.85,1698.13,0.264
12/31/2010 12:00:00 AM,868.32,4549.10,5417.42,0.1603,226.55,1094.87,0.194
01/31/2011 12:00:00 AM,907.39,3731.48,4638.87,0.1956,,907.39,0.1956
02/28/2011 12:00:00 AM,790.91,3754.75,4545.66,0.174,,790.91,0.174
03/31/2011 12:00:00 AM,843.29,5001.47,5844.76,0.1443,32.88,876.17,0.1491
04/30/2011 12:00:00 AM,794.25,4859.95,5654.20,0.1405,331.59,1125.84,0.1881
05/31/2011 12:00:00 AM,844.08,5060.05,5904.13,0.143,383.60,1227.68,0.1953
06/30/2011 12:00:00 AM,923.09,5794.67,6717.76,0.1374,379.16,1302.25,0.1835
07/31/2011 12:00:00 AM,747.71,4986.53,5734.24,0.1304,199.35,947.06,0.1596
08/31/2011 12:00:00 AM,856.91,5143.76,6000.67,0.1428,201.19,1058.10,0.1706
09/30/2011 12:00:00 AM,897.09,5540.13,6437.22,0.1394,288.34,1185.43,0.1763
10/31/2011 12:00:00 AM,772.59,4605.39,5377.98,0.1437,176.50,949.09,0.1709
11/30/2011 12:00:00 AM,811.54,4966.04,5777.58,0.1405,547.59,1359.13,0.2149
12/31/2011 12:00:00 AM,827.40,5013.95,5841.35,0.1416,184.10,1011.50,0.1679
01/31/2012 12:00:00 AM,772.01,4346.43,5118.44,0.1508,1.85,773.86,0.1511
02/29/2012 12:00:00 AM,630.91,4255.18,4886.09,0.1291,0.00,630.91,0.1291
03/31/2012 12:00:00 AM,693.95,4737.70,5431.65,0.1278,0.00,693.95,0.1278
04/30/2012 12:00:00 AM,730.36,4674.17,5404.53,0.1351,252.73,983.09,0.1738
05/31/2012 12:00:00 AM,872.50,5548.44,6420.94,0.1359,309.18,1181.68,0.1756
06/30/2012 12:00:00 AM,878.15,5315.16,6193.31,0.1418,251.13,1129.28,0.1752
07/31/2012 12:00:00 AM,796.35,5084.98,5881.33,0.1354,165.57,961.92,0.1591
08/31/2012 12:00:00 AM,791.41,5509.37,6300.78,0.1256,169.63,961.04,0.1485
09/30/2012 12:00:00 AM,739.09,4663.52,5402.61,0.1368,157.22,896.31,0.1612
10/31/2012 12:00:00 AM,797.95,4546.94,5344.89,0.1493,165.54,963.49,0.1748
11/30/2012 12:00:00 AM,1014.22,4885.24,5899.46,0.1719,704.74,1718.96,0.2603
12/31/2012 12:00:00 AM,1053.24,3820.32,4873.56,0.2161,262.16,1315.40,0.2561
01/31/2013 12:00:00 AM,1235.61,4005.30,5240.91,0.2358,15.51,1251.12,0.238
