year,month,total_garb,total_org,total_rec,total_rec_nocon
2008,1,"11,183","2,497",8253.1,8076.4
2008,2,"9,926","2,313",6516.6,6376.2
2008,3,"10,095","3,474",6599.7,6458
2008,4,"10,563","4,649",7051.9,6900.3
2008,5,"10,658","7,547",6940.8,6791.6
2008,6,"10,707","7,193",6720.6,6576
2008,7,"11,440","5,896",7454.4,7293.9
2008,8,"10,729","4,026",6853.5,6706
2008,9,"11,268","4,693",7015.9,6865
2008,10,"11,316","5,031",7214.1,7058.9
2008,11,"10,126","6,579",6597.5,6455.3
2008,12,"9,209","2,465",6470.5,6330.9
2009,1,"11,875","4,106",8595,8013.4
2009,2,"9,039","2,718",5711.6,5324.8
2009,3,"9,771","3,279",6057.6,5647.1
2009,4,"9,265","8,452",6361.6,5935.5
2009,5,"9,561","9,858",6278.3,5855.7
2009,6,"10,326","8,987",6834.3,6374
2009,7,"10,516","6,388",7263.4,6774.2
2009,8,"9,775","5,323",6572.9,6129.7
2009,9,"9,776","5,889",6870.4,6407.3
2009,10,"9,360","6,002",6742.2,6286.1
2009,11,"9,822","8,512",7096.5,6616.4
2009,12,"9,640","4,717",7742.2,7219.5
2010,1,"8,969","3,965",7144,
2010,2,"8,375","4,221",5974.5,
2010,3,"9,607","6,302",6862.3,
2010,4,"9,362","7,376",6392.5,
2010,5,"9,164","8,564",6515.7,
2010,6,"9,982","10,003",6913.1,
2010,7,"9,701","7,859",6883.6,
2010,8,"9,792","5,962",6831.9,
2010,9,"9,907","6,038",6964.2,
2010,10,"9,203","6,195",6455,
2010,11,"9,475","7,666",6926.1,
2010,12,"10,559","5,801",8105.2,
2011,1,"9,369","3,791",7216.9,
2011,2,"8,323","3,387",5915,
2011,3,"9,852","4,898",6930.8,
2011,4,"9,085","7,167",6361.5,
2011,5,"9,514","9,925",6765.3,
2011,6,"9,776","10,372",6807.9,
2011,7,"9,268","7,580",6375.2,
2011,8,"10,129","6,534",7136.5,
2011,9,"9,521","5,530",6709.1,
2011,10,"9,184","5,658",6353.9,
2011,11,"9,643","8,633",6960.9,
2011,12,"9,108","6,336",7008.1,
2012,1,"9,419","4,177",6714.8,
2012,2,"8,612","4,141",6460,
2012,3,"9,121","5,022",6431.3,
2012,4,"8,981","8,601",6294.9,
2012,5,"9,793","10,625",6954.5,
2012,6,"9,216","9,121",6512.3,
2012,7,"8,678","7,775",6057.2,
2012,8,"10,521","7,673",7689.3,
2012,9,"8,496","5,548",6150.1,
2012,10,"9,655","6,419",7015.9,
2012,11,"9,809","9,332",7270,
2012,12,"9,121","5,231",7170.1,
2013,1,"9,515","4,454",7457.7,
2013,2,"8,132","3,942",5878.6,
2013,3,"8,657","5,895",6153.1,
2013,4,"9,365","8,294",6661.1,
2013,5,"9,735","10,068",6890.9,
2013,6,"8,786","8,523",6245.4,
2013,7,"9,988","7,757",7097.9,
2013,8,"9,468","5,929",6723.8,
2013,9,"9,397","6,157",6702,
2013,10,"9,706","7,384",7048.7,
2013,11,"8,981","9,531",6569.6,
2013,12,"9,109","4,457",7288.5,
2014,1,"9,627","4,894",7588.7,
2014,2,"8,348","3,154",6119,
2014,3,"9,062","5,818",6618.2,
2014,4,"9,427","8,675",6765.5,
2014,5,"9,507","10,118",6912.2,
2014,6,"9,186","8,457",6715.2,
2014,7,"10,015","7,033",7245.6,
2014,8,"9,138","5,813",6595.1,
2014,9,"9,704","6,300",7014.9,
2014,10,"9,867","7,528",7230.8,
2014,11,"8,656","7,877",6514,
2014,12,"9,674","6,922",7913.7,
2015,1,"8,511","5,514",7341.8,
2015,2,"7,723","5,222",6182.6,
2015,3,"8,583","7,100",6852.8,
2015,4,"8,356","8,686",6904.8,
2015,5,"8,145","9,155",6688.8,
2015,6,"8,742","8,336",7315.6,
2015,7,"8,846","6,799",7461.3,
2015,8,"8,311","6,273",6887.9,
2015,9,"8,814","7,999",7452.4,
2015,10,"8,436","7,647",7227.3,
2015,11,"8,407","9,758",7468.2,
2015,12,"9,098","6,723",8482.7,
2016,1,"8,725","5,274",7541.8,
2016,2,"8,376","5,200",6942.9,
2016,3,"9,029","7,716",7553,
2016,4,"8,544","9,621",6745.7,
2016,5,"8,553","9,804",7147.8,
2016,6,"8,950","8,704",7349,
2016,7,"8,579","7,510",6937.4,
2016,8,"8,984","7,226",7634.5,
2016,9,"8,820","7,059",7379.9,
2016,10,"8,439","7,719",7274.4,
2016,11,"8,810","10,439",7944.5,
2016,12,"8,293","5,600",7846.7,
2017,1,"8,578","4,864",7963.5,
2017,2,"8,062","4,352",6725.4,
2017,3,"9,120","5,980",7698.2,
2017,4,"8,078","8,203",6669.5,
2017,5,"9,131","11,786",7636.9,
2017,6,"9,103","9,951",7554,
2017,7,"8,422","7,466",7172.9,
2017,8,"9,222","6,725",7690.9,
2017,9,"8,727","6,222",7118.7,
2017,10,"8,741","7,451",7370,
2017,11,"8,993","11,237",7817.3,
2017,12,"8,256","6,551",7750.3,
2018,1,"9,508","5,849","8,487",
2018,2,"7,879","4,674","6,451",
2018,3,"8,805","6,805","7,127",
2018,4,"8,678","7,805","6,937",
2018,5,"9,425","11,045","7,466",
2018,6,"8,918","8,330","7,086",
2018,7,"9,082","7,156","7,290",
2018,8,"9,507","6,766","7,478",
2018,9,"8,413","6,102","6,551",
2018,10,"9,452","7,834","7,392",
2018,11,"9,102","10,452","7,466",
2018,12,"8,715","6,129","7,574",
2019,1,"9,649","6,371","8,025",
2019,2,"7,798","3,796","5,998",
2019,3,"8,560","6,249","6,671",
2019,4,"9,121","8,731","6,927",
2019,5,"9,549","10,255","7,230",
2019,6,"8,649","8,144","6,528",
