year	place	month	num_tweets	likes	retweets	interactions
						
2019	Providence	1	29	36	9	74
2019	Providence	2	30	109	11	150
2019	Providence	3	28	104	8	140
2019	Providence	4	12	51	5	68
2019	Providence	5	22	204	35	261
2019	Providence	6	21	84	18	123
2019	Providence	7	11	13	2	26
2019	Providence	8	7	7118	1866	8991
2019	Providence	9	42	5024	1170	6236
2019	Providence	10	27	187	19	233
2019	Providence	11	25	1110	246	1381
2019	Providence	12	23	79	4	106
2018	Providence	12	12	11	5	28
2018	Providence	11	29	62	19	110
2018	Providence	10	26	59	11	96
2018	Providence	9	19	45	3	67
2018	Providence	8	11	32	10	53
2018	Providence	7	18	94	40	152
2018	Providence	6	17	58	24	99
2018	Providence	5	7	4	1	12
2018	Providence	4	10	74	23	107
2018	Providence	3	10	33	16	59
2018	Providence	2	16	28	13	57
2018	Providence	1	11	6	2	19
2017	Providence	11	17	47	18	82
2017	Providence	10	21	87	30	138
2017	Providence	9	30	46	11	87
2017	Providence	8	14	29	4	47
2017	Providence	7	20	23	6	49
2017	Providence	6	35	76	31	142
2017	Providence	5	13	191	103	307
2017	Providence	4	22	28	13	63
2017	Providence	3	14	97	71	182
2017	Providence	2	13	31	9	53
2017	Providence	1	13	14	7	34
2019	Seattle	1	154	416	108	678
2019	Seattle	2	226	775	166	1167
2019	Seattle	3	187	712	160	1059
2019	Seattle	4	135	428	101	664
2019	Seattle	5	182	741	205	1128
2019	Seattle	6	235	6632	1269	8136
2019	Seattle	7	158	897	156	1211
2018	Seattle	4	105	465	151	721
2018	Seattle	3	85	198	53	336
2018	Seattle	2	71	288	116	475
2018	Seattle	1	68	768	183	1019
2018	Seattle	8	116	336	75	527
2018	Seattle	7	97	640	301	1038
2018	Seattle	6	81	287	83	451
2018	Seattle	5	95	197	76	368
2018	Seattle	12	147	337	79	563
2018	Seattle	11	209	642	108	959
2018	Seattle	10	144	385	117	646
2017	Seattle	8	52	153	60	265
2017	Seattle	7	101	140	58	299
2017	Seattle	6	213	714	239	1166
2017	Seattle	5	104	1151	354	1609
2017	Seattle	4	30	84	53	167
2018	Buffalo	12	19	719	109	847
2018	Buffalo	11	21	47	10	78
2018	Buffalo	10	16	21	8	45
2018	Buffalo	9	15	45	16	76
2018	Buffalo	8	12	16	4	32
2018	Buffalo	7	15	20	7	42
2018	Buffalo	6	18	148	32	198
2018	Buffalo	5	9	9	1	19
2018	Buffalo	4	11	11	4	26
2018	Buffalo	3	16	18	6	40
2018	Buffalo	2	12	23	7	42
2018	Buffalo	1	11	11	1	23
2017	Buffalo	12	18	21	8	47
2017	Buffalo	11	8	9	1	18
2017	Buffalo	10	7	24	9	40
2017	Buffalo	9	28	29	2	59
2017	Buffalo	8	10	26	4	40
2017	Buffalo	7	7	5	2	14
2017	Buffalo	6	38	22	2	62
2017	Buffalo	5	8	0	0	8
2017	Buffalo	4	11	12	4	27
2017	Buffalo	3	15	17	23	55
2017	Buffalo	2	12	13	10	35
2017	Buffalo	1	13	36	9	58
2018	New York City	12	417	7133	990	8540
2018	New York City	11	583	14766	3983	19332
2018	New York City	10	500	4501	1418	6419
