,year,month,diversion_rate,num_tweets,likes,retweets
0,2013,1,22.93661858666667,20,4,4
1,2013,2,22.014819993333333,17,1,1
2,2013,3,19.562440851999998,10,0,1
3,2013,4,19.098037626666667,8,3,1
4,2013,5,17.520931747666666,19,1,5
5,2013,6,16.678265202000002,23,3,2
6,2013,7,17.246887665666666,14,2,1
7,2013,8,16.753455346666666,15,2,2
8,2013,9,17.453874083,18,3,2
9,2013,10,17.780538737,18,4,2
10,2013,11,19.634793987,28,6,2
11,2013,12,20.980901556666666,13,7,15
12,2014,1,20.105878226666665,37,12,12
13,2014,2,19.94787235,44,11,6
14,2014,3,18.33996178,52,18,16
15,2014,4,17.776815436666666,83,51,59
16,2014,5,16.731405859000002,97,29,53
17,2014,6,17.56812771466667,66,53,64
18,2014,7,17.160270166666667,59,29,36
19,2014,8,17.524981086666667,47,75,20
20,2014,9,18.01993385,88,66,93
21,2014,10,17.84494422,66,34,39
22,2014,11,21.669851409999996,121,36,32
23,2014,12,26.131145349999997,53,35,34
24,2015,1,21.875786796666663,77,717,646
25,2015,2,22.03059877,57,36,20
26,2015,3,20.949431716666666,91,69,80
27,2015,4,19.11321038,86,103,78
28,2015,5,18.93341435,103,82,130
29,2015,6,19.274977699999997,132,49,46
30,2015,7,19.35928666,128,53,81
31,2015,8,19.633442456666668,117,77,41
32,2015,9,19.558704933333335,128,121,107
33,2015,10,20.061375306666665,131,75,66
34,2015,11,23.680600406666667,153,193,153
35,2015,12,26.148109203333334,164,133,84
36,2016,1,21.770010076666665,89,49,18
37,2016,2,21.03399639666667,90,85,51
38,2016,3,18.97816118333333,146,168,82
39,2016,4,18.340507906666666,127,139,96
40,2016,5,18.838936696666668,124,161,72
41,2016,6,18.62663124,77,128,72
42,2016,7,19.150809863333333,63,56,13
43,2016,8,19.140162896666666,61,60,24
44,2016,9,19.086216403333335,106,129,46
45,2016,10,19.180750756666665,150,243,132
46,2016,11,22.133222559999997,176,421,111
47,2016,12,31.49754059,128,288,124
48,2017,1,22.293121080000002,218,921,250
49,2017,2,21.34070567666667,113,453,206
50,2017,3,20.100293246666666,128,507,288
51,2017,4,20.07487018666667,145,621,271
52,2017,5,19.06620356666667,125,1342,457
53,2017,6,18.539660646666665,284,809,271
54,2017,7,20.199466169999997,129,168,66
55,2017,8,19.664776363333335,165,314,97
56,2017,9,19.83154957333333,194,1573,662
57,2017,10,20.967350183333334,127,309,139
58,2017,11,21.217311516666665,107,229,98
59,2017,12,31.560251843333333,129,475,164
60,2018,1,22.64257835666667,90,785,186
61,2018,2,22.747888993333333,99,339,136
62,2018,3,22.008377463333332,111,249,75
63,2018,4,22.434496229999997,126,550,178
64,2018,5,20.955003253333334,111,210,78
65,2018,6,21.005328603333336,116,493,139
66,2018,7,23.232293223333333,130,754,348
67,2018,8,22.15745625,139,384,89
68,2018,9,22.81960739666667,124,459,110
69,2018,10,22.871494440000003,206,709,244
70,2018,11,23.76217265,259,751,137
71,2018,12,29.718879303333335,178,1067,193
72,2019,1,23.277908216666663,198,461,122
73,2019,2,24.5735213,273,940,185
74,2019,3,22.15460684,229,849,182
75,2019,4,20.583074413333335,154,508,107
76,2019,5,20.490932476666668,217,965,244
77,2019,6,19.629255386666667,285,6773,1302
78,2019,7,20.283952966666668,180,915,158
79,2019,8,20.48870551,273,21028,6156
80,2019,9,20.888717166666666,399,11139,2248
81,2019,10,20.63877574,199,1587,285
82,2019,11,23.590097906666667,189,1922,404
83,2019,12,24.123660255,162,884,137
