,place,year,month,diversion_rate,num_tweets,likes,retweets,,,,
0,Providence,2013,1,23.8,2,0,0,,,,
1,Providence,2013,2,23.64,1,0,0,,,,
2,Providence,2013,3,19.64,1,0,0,,,,
3,Providence,2013,4,21.26,1,0,0,,,,
4,Providence,2013,5,18.54,1,0,0,,,,
,Providence,2013,6,15.05,0,0,0,,,,
5,Providence,2013,7,14.57,2,1,0,,,,
6,Providence,2013,8,11.88,2,0,0,,,,
7,Providence,2013,9,14.09,1,1,0,,,,
8,Providence,2013,10,14.46,1,1,0,,,,
9,Providence,2013,11,23.3,3,2,0,,,,
10,Providence,2013,12,16.97,2,0,0,,,,
11,Providence,2014,1,13.98,1,2,0,,,,
12,Providence,2014,2,12.45,2,0,0,,,,
13,Providence,2014,3,12.09,16,11,12,,,,
14,Providence,2014,4,16.04,50,35,50,,,,
15,Providence,2014,5,14.15,18,7,24,,,,
16,Providence,2014,6,15.26,24,15,24,,,,
17,Providence,2014,7,10.93,10,1,5,,,,
18,Providence,2014,8,11.8,8,3,0,,,,
19,Providence,2014,9,13.57,19,8,14,,,,
20,Providence,2014,10,12.73,4,3,1,,,,
21,Providence,2014,11,24.46,22,6,10,,,,
22,Providence,2014,12,18.33,7,15,27,,,,
23,Providence,2015,1,12.23,12,1,3,,,,
24,Providence,2015,2,12.1,8,4,5,,,,
25,Providence,2015,3,12.37,18,10,10,,,,
26,Providence,2015,4,14.71,12,8,11,,,,
27,Providence,2015,5,15.36,12,27,31,,,,
28,Providence,2015,6,13.49,9,5,2,,,,
29,Providence,2015,7,10.32,5,1,4,,,,
30,Providence,2015,8,12.01,5,11,5,,,,
31,Providence,2015,9,11.48,11,3,7,,,,
32,Providence,2015,10,12.98,11,19,22,,,,
33,Providence,2015,11,23.27,15,28,11,,,,
34,Providence,2015,12,16.19,21,24,13,,,,
35,Providence,2016,1,9.69,8,5,6,,,,
36,Providence,2016,2,9.56,7,11,9,,,,
37,Providence,2016,3,7.97,10,8,2,,,,
38,Providence,2016,4,12.62,11,15,6,,,,
39,Providence,2016,5,14.45,3,2,1,,,,
40,Providence,2016,6,11.3,3,3,0,,,,
41,Providence,2016,7,10.02,3,0,0,,,,
42,Providence,2016,8,10.22,8,3,1,,,,
43,Providence,2016,9,9.4,12,17,4,,,,
44,Providence,2016,10,12.65,14,11,7,,,,
45,Providence,2016,11,18.66,17,61,18,,,,
46,Providence,2016,12,11.62,11,13,5,,,,
47,Providence,2017,1,9.79,13,14,7,,,,
48,Providence,2017,2,9.52,13,31,9,,,,
49,Providence,2017,3,7.71,14,97,71,,,,
50,Providence,2017,4,14.32,22,28,13,,,,
51,Providence,2017,5,15.54,13,191,103,,,,
52,Providence,2017,6,11.65,35,76,31,,,,
53,Providence,2017,7,12.56,20,23,6,,,,
54,Providence,2017,8,11.52,14,29,4,,,,
55,Providence,2017,9,10.44,30,46,11,,,,
56,Providence,2017,10,14.75,21,87,30,,,,
57,Providence,2017,11,17.1,17,47,18,,,,
58,Providence,2017,12,16.11,14,35,5,,,,
59,Providence,2018,1,11.48,11,6,2,,,,
60,Providence,2018,2,11.28,16,28,13,,,,
61,Providence,2018,3,12.8,10,33,16,,,,
62,Providence,2018,4,19.91,10,74,23,,,,
63,Providence,2018,5,20.07,7,4,1,,,,
64,Providence,2018,6,19.78,17,58,24,,,,
65,Providence,2018,7,19.35,18,94,40,,,,
66,Providence,2018,8,17.9,11,32,10,,,,
67,Providence,2018,9,18.81,19,45,3,,,,
68,Providence,2018,10,20.66,26,59,11,,,,
69,Providence,2018,11,25.3,29,62,19,,,,
70,Providence,2018,12,21.54,12,11,5,,,,
71,Providence,2019,1,14.58,29,36,9,,,,
72,Providence,2019,2,14.82,30,109,11,,,,
73,Providence,2019,3,13.83,28,104,8,,,,
74,Providence,2019,4,17.62,12,51,5,,,,
75,Providence,2019,5,14.71,22,204,35,,,,
76,Providence,2019,6,14.73,21,84,18,,,,
77,Providence,2019,7,13.92,11,13,2,,,,
78,Providence,2019,8,14.15,7,7118,1866,,,,
79,Providence,2019,9,14.58,42,5024,1170,,,,
80,Providence,2019,10,15.85,27,187,19,,,,
81,Providence,2019,11,23.32,25,1110,246,,,,
