year,place,month,num_tweets,likes,retweets
2018,Buffalo,12,19,719,109
2018,Buffalo,11,21,47,10
2018,Buffalo,10,16,21,8
2018,Buffalo,9,15,45,16
2018,Buffalo,8,12,16,4
2018,Buffalo,7,15,20,7
2018,Buffalo,6,18,148,32
2018,Buffalo,5,9,9,1
2018,Buffalo,4,11,11,4
2018,Buffalo,3,16,18,6
2018,Buffalo,2,12,23,7
2018,Buffalo,1,11,11,1
2017,Buffalo,12,18,21,8
2017,Buffalo,11,8,9,1
2017,Buffalo,10,7,24,9
2017,Buffalo,9,28,29,2
2017,Buffalo,8,10,26,4
2017,Buffalo,7,7,5,2
2017,Buffalo,6,38,22,2
2017,Buffalo,5,8,0,0
2017,Buffalo,4,11,12,4
2017,Buffalo,3,15,17,23
2017,Buffalo,2,12,13,10
2017,Buffalo,1,13,36,9

