,city,year,month,diversion_rate
0,Providence,2008,7,13.469999999999999
1,Providence,2008,8,13.03
2,Providence,2008,9,13.819999999999999
3,Providence,2008,10,13.48
4,Providence,2008,11,21.65
5,Providence,2008,12,14.89
6,Providence,2009,1,11.23
7,Providence,2009,2,10.39
8,Providence,2009,3,10.1
9,Providence,2009,4,18.54
10,Providence,2009,5,13.100000000000001
11,Providence,2009,6,14.52
12,Providence,2009,7,14.180000000000001
13,Providence,2009,8,12.42
14,Providence,2009,9,12.520000000000001
15,Providence,2009,10,12.29
16,Providence,2009,11,13.18
17,Providence,2009,12,28.78
18,Providence,2010,1,22.46
19,Providence,2010,2,17.32
20,Providence,2010,3,18.529999999999998
21,Providence,2010,4,19.96
22,Providence,2010,5,20.04
23,Providence,2010,6,19.93
24,Providence,2010,7,17.1
25,Providence,2010,8,17.82
26,Providence,2010,9,16.72
27,Providence,2010,10,17.560000000000002
28,Providence,2010,11,26.400000000000002
29,Providence,2010,12,19.4
30,Providence,2011,1,19.56
31,Providence,2011,2,17.4
32,Providence,2011,3,14.91
33,Providence,2011,4,18.81
34,Providence,2011,5,19.53
35,Providence,2011,6,18.35
36,Providence,2011,7,15.959999999999999
37,Providence,2011,8,17.06
38,Providence,2011,9,17.630000000000003
39,Providence,2011,10,17.09
40,Providence,2011,11,21.490000000000002
41,Providence,2011,12,16.79
42,Providence,2012,1,15.110000000000001
43,Providence,2012,2,12.91
44,Providence,2012,3,12.78
45,Providence,2012,4,17.380000000000003
46,Providence,2012,5,17.560000000000002
47,Providence,2012,6,17.52
48,Providence,2012,7,15.909999999999998
49,Providence,2012,8,14.85
50,Providence,2012,9,16.12
51,Providence,2012,10,17.48
52,Providence,2012,11,26.029999999999998
53,Providence,2012,12,25.61
54,Providence,2013,1,23.8
55,Providence,2013,2,23.64
56,Providence,2013,3,19.64
57,Providence,2013,4,21.26
58,Providence,2013,5,18.54
59,Providence,2013,6,15.049999999999999
60,Providence,2013,7,14.57
61,Providence,2013,8,11.88
62,Providence,2013,9,14.09
63,Providence,2013,10,14.46
64,Providence,2013,11,23.3
65,Providence,2013,12,16.97
66,Providence,2014,1,13.98
67,Providence,2014,2,12.45
68,Providence,2014,3,12.09
69,Providence,2014,4,16.04
70,Providence,2014,5,14.149999999999999
71,Providence,2014,6,15.260000000000002
72,Providence,2014,7,10.93
73,Providence,2014,8,11.8
74,Providence,2014,9,13.569999999999999
75,Providence,2014,10,12.73
76,Providence,2014,11,24.46
77,Providence,2014,12,18.33
78,Providence,2015,1,12.23
79,Providence,2015,2,12.1
80,Providence,2015,3,12.370000000000001
81,Providence,2015,4,14.71
82,Providence,2015,5,15.36
83,Providence,2015,6,13.489999999999998
84,Providence,2015,7,10.32
85,Providence,2015,8,12.01
86,Providence,2015,9,11.48
87,Providence,2015,10,12.98
88,Providence,2015,11,23.27
89,Providence,2015,12,16.189999999999998
90,Providence,2016,1,9.69
91,Providence,2016,2,9.56
92,Providence,2016,3,7.969999999999999
93,Providence,2016,4,12.620000000000001
94,Providence,2016,5,14.45
95,Providence,2016,6,11.3
96,Providence,2016,7,10.02
97,Providence,2016,8,10.22
98,Providence,2016,9,9.4
99,Providence,2016,10,12.65
100,Providence,2016,11,18.66
101,Providence,2016,12,11.62
102,Providence,2017,1,9.790000000000001
103,Providence,2017,2,9.520000000000001
104,Providence,2017,3,7.71
105,Providence,2017,4,14.32
106,Providence,2017,5,15.540000000000001
107,Providence,2017,6,11.65
108,Providence,2017,7,12.559999999999999
109,Providence,2017,8,11.52
110,Providence,2017,9,10.440000000000001
111,Providence,2017,10,14.75
112,Providence,2017,11,17.1
113,Providence,2017,12,16.11
114,Providence,2018,1,11.48
115,Providence,2018,2,11.28
116,Providence,2018,3,12.8
117,Providence,2018,4,19.91
118,Providence,2018,5,20.07
119,Providence,2018,6,19.78
120,Providence,2018,7,19.35
121,Providence,2018,8,17.9
122,Providence,2018,9,18.81
123,Providence,2018,10,20.66
124,Providence,2018,11,25.3
125,Providence,2018,12,21.54
126,Providence,2019,1,14.580000000000002
127,Providence,2019,2,14.82
128,Providence,2019,3,13.83
129,Providence,2019,4,17.62
130,Providence,2019,5,14.71
131,Providence,2019,6,14.729999999999999
132,Providence,2019,7,13.919999999999998
133,Providence,2019,8,14.149999999999999
134,Providence,2019,9,14.580000000000002
135,Providence,2019,10,15.85
136,Providence,2019,11,23.32
137,Providence,2019,12,14.510000000000002
0,New York City,2016,1,16.72881355932203
1,New York City,2016,2,19.11525423728813
2,New York City,2016,3,17.03728813559322
3,New York City,2016,4,16.771186440677965
4,New York City,2016,5,16.666101694915255
5,New York City,2016,6,16.615254237288138
6,New York City,2016,7,15.571186440677966
7,New York City,2016,8,15.732203389830508
8,New York City,2016,9,16.32542372881356
9,New York City,2016,10,16.35593220338983
10,New York City,2016,11,15.925423728813554
11,New York City,2016,12,18.083050847457624
12,New York City,2017,1,18.95932203389831
13,New York City,2017,2,17.105084745762706
14,New York City,2017,3,17.272881355932203
15,New York City,2017,4,17.06949152542373
16,New York City,2017,5,16.586440677966102
17,New York City,2017,6,17.08474576271186
18,New York City,2017,7,16.642372881355932
19,New York City,2017,8,16.440677966101696
20,New York City,2017,9,17.116949152542375
21,New York City,2017,10,16.89830508474576
