year,place,month,num_tweets,likes,retweets
2019,Providence,1,29,36,9
2019,Providence,2,30,109,11
2019,Providence,3,28,104,8
2019,Providence,4,12,51,5
2019,Providence,5,22,204,35
2019,Providence,6,21,84,18
2019,Providence,7,11,13,2
2019,Providence,8,7,7118,1866
2019,Providence,9,42,5024,1170
2019,Providence,10,27,187,19
2019,Providence,11,25,1110,246
2019,Providence,12,23,79,4
2018,Providence,12,12,11,5
2018,Providence,11,29,62,19
2018,Providence,10,26,59,11
2018,Providence,9,19,45,3
2018,Providence,8,11,32,10
2018,Providence,7,18,94,40
2018,Providence,6,17,58,24
2018,Providence,5,7,4,1
2018,Providence,4,10,74,23
2018,Providence,3,10,33,16
2018,Providence,2,16,28,13
2018,Providence,1,11,6,2
2017,Providence,11,17,47,18
2017,Providence,10,21,87,30
2017,Providence,9,30,46,11
2017,Providence,8,14,29,4
2017,Providence,7,20,23,6
2017,Providence,6,35,76,31
2017,Providence,5,13,191,103
2017,Providence,4,22,28,13
2017,Providence,3,14,97,71
2017,Providence,2,13,31,9
2017,Providence,1,13,14,7
