,year,month,diversion_rate
0,2008,1,37.628515804879385
1,2008,2,34.74482287956664
2,2008,3,32.722485832007024
3,2008,4,31.67414514078845
4,2008,5,27.602223830619828
5,2008,6,27.29665402142921
6,2008,7,21.769852200851943
7,2008,8,22.373342781775687
8,2008,9,22.177290191453153
9,2008,10,22.04934464010594
10,2008,11,24.981206415620644
11,2008,12,25.275472043870042
12,2009,1,23.101572265625002
13,2009,2,21.543190467467348
14,2009,3,20.901284305721287
15,2009,4,22.4800703529275
16,2009,5,18.765874819533572
17,2009,6,20.32884458433567
18,2009,7,22.11726813807029
19,2009,8,21.375267709232194
20,2009,9,21.503572335081692
21,2009,10,21.39594778367912
22,2009,11,20.542733921865477
23,2009,12,31.906923689545323
24,2010,1,29.020616595278415
25,2010,2,24.745996607522684
26,2010,3,24.33287052122628
27,2010,4,23.79833509867923
28,2010,5,23.457924079245323
29,2010,6,22.815535911458433
30,2010,7,22.630577329035006
31,2010,8,24.034258940312313
32,2010,9,23.55957047823582
33,2010,10,23.549139248615752
34,2010,11,27.589145347798446
35,2010,12,26.26475320046433
36,2011,1,21.26528854995392
37,2011,2,19.453561875568905
38,2011,3,17.779141903985195
39,2011,4,17.9204585947225
40,2011,5,17.029692031742602
41,2011,6,16.425819093357383
42,2011,7,16.514009287095835
43,2011,8,16.888978174003327
44,2011,9,17.362767096466328
45,2011,10,16.96021585353026
46,2011,11,17.924802283397423
47,2011,12,18.961789846537098
48,2012,1,19.380295470674152
49,2012,2,18.937168933183038
50,2012,3,17.902541708693374
51,2012,4,16.595759657002077
52,2012,5,16.19508859004133
53,2012,6,16.269247971094256
54,2012,7,15.939715094360809
55,2012,8,16.601153054730236
56,2012,9,17.229935583017184
57,2012,10,18.03520611503924
58,2012,11,21.750842987452824
59,2012,12,23.592201876112515
60,2013,1,22.93661858877148
61,2013,2,22.014819992909622
62,2013,3,19.562440850921675
63,2013,4,19.09803762567972
64,2013,5,17.52093174767238
65,2013,6,16.678265202524678
66,2013,7,17.24688766578001
67,2013,8,16.75345534759952
68,2013,9,17.45387408405294
69,2013,10,17.780538736298418
70,2013,11,19.63479398830537
71,2013,12,20.98090155522239
72,2014,1,20.10587822643523
73,2014,2,19.947872349286058
74,2014,3,18.339961780094004
75,2014,4,17.776815438358266
76,2014,5,16.73140585907164
77,2014,6,17.56812771369858
78,2014,7,17.160270166294826
79,2014,8,17.52498108838846
80,2014,9,18.019933848534045
81,2014,10,17.844944218220878
82,2014,11,21.66985140795757
83,2014,12,26.13114534957468
84,2015,1,21.875786795909846
85,2015,2,22.03059877139283
86,2015,3,20.94943171721747
87,2015,4,19.113210379015115
88,2015,5,18.933414350807926
89,2015,6,19.274977698652688
90,2015,7,19.35928665919396
91,2015,8,19.633442456496212
92,2015,9,19.5587049334839
93,2015,10,20.061375306890064
94,2015,11,23.68060040830406
95,2015,12,26.148109202266255
96,2016,1,21.77001007547861
97,2016,2,21.03399639734506
98,2016,3,18.978161184231272
99,2016,4,18.34050790729987
100,2016,5,18.83893669684176
101,2016,6,18.626631241491747
102,2016,7,19.15080986311042
103,2016,8,19.14016289387857
104,2016,9,19.086216406233728
105,2016,10,19.180750756084848
106,2016,11,22.133222562125763
107,2016,12,31.497540591252392
108,2017,1,22.293121079390318
109,2017,2,21.340705677364298
110,2017,3,20.100293245731535
111,2017,4,20.07487018563872
112,2017,5,19.066203568007744
113,2017,6,18.539660647452074
114,2017,7,20.199466170908064
115,2017,8,19.664776362232598
116,2017,9,19.831549572400927
117,2017,10,20.967350181974492
118,2017,11,21.217311515731208
119,2017,12,31.560251844085325
120,2018,1,22.642578355312953
121,2018,2,22.74788899306685
122,2018,3,22.008377461606553
123,2018,4,22.434496229264983
124,2018,5,20.95500325445873
125,2018,6,21.005328604773183
126,2018,7,23.2322932232379
127,2018,8,22.157456248818818
128,2018,9,22.819607395624587
129,2018,10,22.8714944398384
130,2018,11,23.762172651623914
131,2018,12,29.71887930166915
132,2019,1,23.27790821652899
133,2019,2,24.57352130136336
134,2019,3,22.15460683972623
135,2019,4,20.58307441204934
136,2019,5,20.490932478572912
137,2019,6,19.62925538687369
138,2019,7,15.89370574221638
139,2019,8,15.696399176954731
140,2019,9,16.139095966620303
141,2019,10,16.66784752608549
142,2019,11,22.098680755683638
143,2019,12,14.510000000000002
