year,place,month,num_tweets,likes,retweets
2019,Seattle,1,154,416,108
2019,Seattle,2,226,775,166
2019,Seattle,3,187,712,160
2019,Seattle,4,135,428,101
2019,Seattle,5,182,741,205
2019,Seattle,6,235,6632,1269
2019,Seattle,7,158,897,156
2018,Seattle,4,105,465,151
2018,Seattle,3,85,198,53
2018,Seattle,2,71,288,116
2018,Seattle,1,68,768,183
2018,Seattle,8,116,336,75
2018,Seattle,7,97,640,301
2018,Seattle,6,81,287,83
2018,Seattle,5,95,197,76
2018,Seattle,12,147,337,79
2018,Seattle,11,209,642,108
2018,Seattle,10,144,385,117
2017,Seattle,8,52,153,60
2017,Seattle,7,101,140,58
2017,Seattle,6,213,714,239
2017,Seattle,5,104,1151,354
2017,Seattle,4,30,84,53
