year,place,month,num_tweets,likes,retweets
2013,Buffalo,1,1,0,0
2013,Buffalo,4,1,0,0
2013,Buffalo,6,6,2,2
2013,Buffalo,7,3,1,0
2013,Buffalo,9,4,0,0
2013,Buffalo,10,3,1,1
2013,Buffalo,11,6,3,0
2013,Buffalo,12,1,2,0
2013,Providence,1,2,0,0
2013,Providence,2,1,0,0
2013,Providence,3,1,0,0
2013,Providence,4,1,0,0
2013,Providence,5,1,0,0
2013,Providence,7,2,1,0
2013,Providence,8,2,0,0
2013,Providence,9,1,1,0
2013,Providence,10,1,1,0
2013,Providence,11,3,2,0
2013,Providence,12,2,0,0
2013,Seattle,1,17,4,4
2013,Seattle,2,16,1,1
2013,Seattle,3,9,0,1
2013,Seattle,4,6,3,1
2013,Seattle,5,18,1,5
2013,Seattle,6,17,1,0
2013,Seattle,7,9,0,1
2013,Seattle,8,13,2,2
2013,Seattle,9,13,2,2
2013,Seattle,10,14,2,1
2013,Seattle,11,19,1,2
2013,Seattle,12,10,5,15
2014,Buffalo,1,5,1,1
2014,Buffalo,2,5,2,0
2014,Buffalo,3,7,3,0
2014,Buffalo,4,3,0,0
2014,Buffalo,5,3,0,0
2014,Buffalo,6,5,2,2
2014,Buffalo,7,4,0,0
2014,Buffalo,8,1,1,0
2014,Buffalo,9,1,2,0
2014,Buffalo,10,5,0,4
2014,Buffalo,11,3,0,0
2014,Buffalo,12,2,3,0
2014,Providence,1,1,2,0
2014,Providence,2,2,0,0
2014,Providence,3,16,11,12
2014,Providence,4,50,35,50
2014,Providence,5,18,7,24
2014,Providence,6,24,15,24
2014,Providence,7,10,1,5
2014,Providence,8,8,3,0
2014,Providence,9,19,8,14
2014,Providence,10,4,3,1
2014,Providence,11,22,6,10
2014,Providence,12,7,15,27
2014,Seattle,1,31,9,11
2014,Seattle,2,37,9,6
2014,Seattle,3,29,4,4
2014,Seattle,4,30,16,9
2014,Seattle,5,76,22,29
2014,Seattle,6,37,36,38
2014,Seattle,7,45,28,31
2014,Seattle,8,38,71,20
2014,Seattle,9,68,56,79
2014,Seattle,10,57,31,34
2014,Seattle,11,96,30,22
2014,Seattle,12,44,17,7
2015,Buffalo,1,3,0,0
2015,Buffalo,2,7,14,1
2015,Buffalo,3,4,8,12
2015,Buffalo,4,3,1,3
2015,Buffalo,5,5,2,4
2015,Buffalo,6,1,1,0
2015,Buffalo,7,3,2,1
2015,Buffalo,8,7,3,3
2015,Buffalo,9,10,13,12
2015,Buffalo,10,7,3,1
2015,Buffalo,11,12,10,6
2015,Buffalo,12,14,11,4
2015,Providence,1,12,1,3
2015,Providence,2,8,4,5
2015,Providence,3,18,10,10
2015,Providence,4,12,8,11
2015,Providence,5,12,27,31
2015,Providence,6,9,5,2
2015,Providence,7,5,1,4
2015,Providence,8,5,11,5
2015,Providence,9,11,3,7
2015,Providence,10,11,19,22
2015,Providence,11,15,28,11
2015,Providence,12,21,24,13
2015,Seattle,1,62,716,643
2015,Seattle,2,42,18,14
2015,Seattle,3,69,51,58
2015,Seattle,4,71,94,64
2015,Seattle,5,86,53,95
2015,Seattle,6,122,43,44
2015,Seattle,7,120,50,76
2015,Seattle,8,105,63,33
2015,Seattle,9,107,105,88
2015,Seattle,10,113,53,43
2015,Seattle,11,126,155,136
2015,Seattle,12,129,98,67
2016,Buffalo,1,8,5,0
2016,Buffalo,2,4,2,0
2016,Buffalo,3,11,5,0
2016,Buffalo,4,7,12,6
2016,Buffalo,5,11,3,1
2016,Buffalo,6,5,2,1
2016,Buffalo,7,9,16,2
